obj_id  ref_name         valuet                                                        valuei       timestamp          
------  ---------------  ------------------------------------------------------------  -----------  -------------------

253     EAN              5905669734073                                                              2026-02-05 00:11:43

253     cat_id                                                                         261233       2026-02-05 00:11:43

253     item_no                                                                        6            2026-02-05 00:21:35

253     name             La Koguta Konfitura Jabłko i habanero                                      2026-02-05 00:11:43

253     name             La Koguta Konfitura Jabłko i Habanero                                      2026-02-05 00:21:35

253     offer_id                                                                       18193533762  2026-02-05 00:11:43

253     price                                                                          12085714     2026-02-05 00:21:35

253     stock                                                                          2            2026-02-05 00:21:35

253     stock_available                                                                28           2026-02-05 00:11:43

253     stock_sold                                                                     25           2026-02-05 00:11:43

275     EAN              5906395688074                                                              2026-02-05 00:11:43

275     cat_id                                                                         261676       2026-02-05 00:11:43

275     item_no                                                                        185          2026-02-05 00:21:35

275     name             Ocet jabłkowy Dębski Rolniczy Handel Detaliczny 500ml                      2026-02-05 00:11:43

275     name             Ocet jabłkowy Dębski Rolniczy Handel Detaliczny                            2026-02-05 00:21:35

275     offer_id                                                                       18179052243  2026-02-05 00:11:43

275     price                                                                          24390244     2026-02-05 00:21:35

275     stock                                                                          23           2026-02-05 00:21:35

275     stock_available                                                                83           2026-02-05 00:11:43

275     stock_sold                                                                     69           2026-02-05 00:11:43

280     EAN              5901832981954                                                              2026-02-05 00:11:43

280     cat_id                                                                         261712       2026-02-05 00:11:43

280     item_no                                                                        652          2026-02-05 00:21:35

280     name             Fresano Płatki Gryczane BIO 300g                                           2026-02-05 00:11:43

280     name             Fresano Płatki Gryczane BIO 300g                                           2026-02-05 00:21:35

280     offer_id                                                                       18177983561  2026-02-05 00:11:43

280     price                                                                          9504065      2026-02-05 00:21:35

280     stock                                                                          12           2026-02-05 00:21:35

280     stock_available                                                                12           2026-02-05 00:11:43

280     stock_sold                                                                     0            2026-02-05 00:11:43

301     EAN              5903021505118                                                              2026-02-05 00:11:43

301     cat_id                                                                         311869       2026-02-05 00:11:43

301     item_no                                                                        925          2026-02-05 00:21:35

301     name             Browar Staropolski KULTOWE Prozdrowotne BEZ GLUTENU bezalkoh               2026-02-05 00:11:43
                         olowe                                                                                         

301     name             Browar Staropolski Kultowe Prozdrowotne bezalko                            2026-02-05 00:21:35

301     offer_id                                                                       18170021437  2026-02-05 00:11:43

301     price                                                                          6089431      2026-02-05 00:21:35

301     stock                                                                          13           2026-02-05 00:21:35

301     stock_available                                                                186          2026-02-05 00:11:43

301     stock_sold                                                                     13           2026-02-05 00:11:43
